기관명,번호,남은기간,제목,사업명,AI관련여부,품질인증관련여부,관련키워드,공고유형,신청시작일,신청종료일,마감Dday,신청기간,작성자,작성일자,상세링크
NIA,29638,,[조달입찰공고] 2026년 인공지능데이터본부 사업 회계 정산 [첨부파일],재무관리팀,Y,N,"인공지능, 데이터",입찰(용역)공고,,,,,정하윤,2026.07.09,"doBbsFView('78336','29638','16010100','29638');return false;"
NIA,29637,,[사전규격공개] 2026년 개도국정보접근센터(IAC) 구축·운영 사업 종료평가 및 운영성과분석 용역 [첨부파일],글로벌기획팀,N,Y,평가,입찰(용역)공고,,,,,김영은,2026.07.08,"doBbsFView('78336','29637','16010100','29637');return false;"
NIA,29636,,[사전규격공개] 2026년 국민비서 서비스 확대 및 개선 개인정보 영향평가 [첨부파일],AI정부서비스팀,Y,Y,"AI, 평가",기타,,,,,김종표,2026.07.08,"doBbsFView('78336','29636','16010100','29636');return false;"
NIA,29632,,[사전규격공개] 2026년 2개 시도교육청(대전·경남) 학교 무선통신장비 도입 및 설치 위탁감리 [첨부파일],통신서비스팀,N,N,,기타,,,,,곽현호,2026.07.08,"doBbsFView('78336','29632','16010100','29632');return false;"
KISA,1883,,2026년 블록체인 혁신선도 프로젝트 지원사업 품질관리 용역,,N,Y,품질,입찰(용역)공고,,,,,,2026-07-20,https://www.kisa.or.kr/403/form?postSeq=10782&page=1
KISA,1873,,(재공고) 스미싱확인서비스 클라우드 이전 및 이중화,,N,N,,R&D지원사업,,,,,,2026-07-15,https://www.kisa.or.kr/403/form?postSeq=10772&page=2
KISA,1863,,[사전규격공개] 글로벌 가상 얼굴인식 합성데이터 제작,,Y,N,데이터,기타,,,,,,2026-07-13,https://www.kisa.or.kr/403/form?postSeq=10762&page=3
NIPA,362,D-28,특화 인공지능 파운데이션 모델 개발(사이버 보안 분야) 사업 공고,특화 인공지능 파운데이션 모델 개발(사이버 보안 분야) 사업,Y,N,인공지능,R&D지원사업,,,,:,박정호,2026-07-22,https://www.nipa.kr/home/2-2/16866
NIPA,361,D-28,싱가포르IT지원센터 2026년 하반기 입주기업 모집 공고,해외IT지원센터(싱가포르) 운영,N,N,,R&D지원사업,,,,:,김수련,2026-07-21,https://www.nipa.kr/home/2-2/16861
NIPA,360,D-18,전 국민 AI 서비스 보편적 활용 지원(모두의 AI) 사업 공고,전 국민 AI 서비스 보편적 활용 지원(모두의 AI) 사업,Y,N,AI,R&D지원사업,,,,:,송근호,2026-07-13,https://www.nipa.kr/home/2-2/16852
NIPA,359,오늘마감,2026년도 소프트웨어 산업발전 유공자 포상계획 공고,중소SW기업경쟁력강화,N,N,,포상·시상,,,,:,이호연,2026-07-07,https://www.nipa.kr/home/2-2/16846
NIPA,358,종료,2026년도 SaaS 전환 컨설팅 2차 수요기업 모집,SaaS 기반 창업성장 지원(SaaS 전환지원센터 운영),N,N,,R&D지원사업,,,,:,조현주,2026-06-23,https://www.nipa.kr/home/2-2/16827
NIPA,357,종료,하노이 IT지원센터‘26년 하반기 연간 입주기업 모집 공고,해외IT지원센터(하노이) 운영,N,N,,R&D지원사업,,,,:,이지수,2026-06-18,https://www.nipa.kr/home/2-2/16820
NIPA,356,종료,2026년도 고용노동부(안전보건공단) 연계  스마트 안전장비지원 품목 등록 시행계획 공고(1차),디지털 안전 선도모델 개발,N,N,,R&D지원사업,,,,:,한상진,2026-06-16,https://www.nipa.kr/home/2-2/16817
NIPA,355,종료,2026년 오픈소스 개발자 대회 공고,공개SW활성화지원,N,N,,R&D지원사업,,,,:,유기현,2026-06-15,https://www.nipa.kr/home/2-2/16815
NIPA,354,종료,2026년도 과학기술정보통신부「고성능컴퓨팅지원」사업 사용자 추가모집 공고,고성능컴퓨팅지원,N,N,,R&D지원사업,,,,:,신동필,2026-05-29,https://www.nipa.kr/home/2-2/16797
NIPA,353,종료,｢2026년도 AX 원스톱 바우처｣ 지원사업 수요기업 추가 모집 공고,AX 원스톱 바우처 지원,N,N,,R&D지원사업,,,,:,한복미,2026-05-28,https://www.nipa.kr/home/2-2/16795
NIPA,352,종료,"호치민IT지원센터 2026년 7월 입주기업 모집 계획(3인실, 2실 모집)",해외IT지원센터(호치민) 운영,N,N,,R&D지원사업,,,,:,이로운,2026-05-18,https://www.nipa.kr/home/2-2/16774
NIPA,351,종료,2026년도 ｢AI 청년창업기업 동반성장 바우처｣ 사업 수요기업 모집 공고,AI 청년창업기업 동반성장 바우처,Y,N,AI,R&D지원사업,,,,:,김영근,2026-05-08,https://www.nipa.kr/home/2-2/16764
NIPA,350,종료,2026년「조선 AX 특화 AI 모델하우스 구축·실증사업」신규과제 모집공고,조선AX 특화 AI모델하우스 구축·실증,Y,N,AI,R&D지원사업,,,,:,이해미,2026-05-06,https://www.nipa.kr/home/2-2/16756
NIPA,349,종료,2026년 「수출 유망 디지털콘텐츠 강소기업 육성」지원기업 추가모집 공고,2026년 수출 유망 디지털콘텐츠 강소기업 육성 지원,N,N,,R&D지원사업,,,,:,김진원,2026-05-04,https://www.nipa.kr/home/2-2/16752
NIPA,348,종료,2026년 소형 데이터센터 기반 AI산업 성장 지원 사업 공고,소형 데이터센터 기반 AI 산업 성장 지원,Y,N,"AI, 데이터",R&D지원사업,,,,:,송현수,2026-04-30,https://www.nipa.kr/home/2-2/16750
NIPA,347,종료,2026년도 ｢AI 청년창업기업 동반성장 바우처｣ 지원사업 운영기관 모집 공고,AI 청년창업기업 동반성장 바우처,Y,N,AI,R&D지원사업,,,,:,김영근,2026-04-20,https://www.nipa.kr/home/2-2/16731
NIPA,346,종료,2026년도 「AI 청년창업기업 동반성장 바우처」 지원사업 공급기업 후보군(POOL) 모집  수정공고,AI 청년창업기업 동반성장 바우처,Y,N,AI,R&D지원사업,,,,:,김영근,2026-04-20,https://www.nipa.kr/home/2-2/16730
